div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
91;AMAZONAS;2017;5;75104;6.657435023434171;180;2.7777777777777777
91;AMAZONAS;2016;18;73790;24.393549261417537;180;10
91;AMAZONAS;2015;9;72485;12.416362005932262;180;5
91;AMAZONAS;2014;20;71215;28.083971073509797;180;11.11111111111111
91;AMAZONAS;2013;11;69953;15.724843823710208;180;6.111111111111111
91;AMAZONAS;2012;10;68681;14.560067558713472;180;5.555555555555555
91;AMAZONAS;2011;11;67361;16.32992384317335;180;6.111111111111111
91;AMAZONAS;2010;2;65991;3.030716309799821;180;1.1111111111111112
85;CASANARE;2023;44;444602;9.896491693694585;1006;4.3737574552683895
85;CASANARE;2022;77;442068;17.418134766596992;1006;7.654075546719683
85;CASANARE;2021;87;439238;19.807029446450443;1006;8.648111332007952
85;CASANARE;2020;108;435195;24.816461586185504;1006;10.73558648111332
85;CASANARE;2019;61;428563;14.2336132610608;1006;6.063618290258449
85;CASANARE;2018;50;420504;11.89049331278656;1006;4.970178926441352
85;CASANARE;2017;73;411255;17.750544066333543;1006;7.256461232604374
85;CASANARE;2016;87;403554;21.558453143817186;1006;8.648111332007952
85;CASANARE;2015;77;396320;19.428744448930157;1006;7.654075546719683
85;CASANARE;2014;97;389511;24.903019426922476;1006;9.642147117296222
85;CASANARE;2013;79;382735;20.640913425738436;1006;7.852882703777336
85;CASANARE;2012;94;375872;25.008513536523072;1006;9.343936381709742
85;CASANARE;2011;55;368912;14.908704514897861;1006;5.467196819085487
85;CASANARE;2010;17;361824;4.698416909878836;1006;1.6898608349900597
81;ARAUCA;2023;117;308301;37.949925559761404;1914;6.112852664576803
81;ARAUCA;2022;356;304978;116.72973132488245;1914;18.599791013584117
81;ARAUCA;2021;185;301270;61.40671158761244;1914;9.665621734587251
81;ARAUCA;2020;115;294206;39.08825788733064;1914;6.0083594566353185
81;ARAUCA;2019;160;280109;57.120620901149195;1914;8.359456635318704
81;ARAUCA;2018;128;262174;48.8225377039676;1914;6.687565308254964
81;ARAUCA;2017;85;250502;33.931864815450574;1914;4.440961337513062
81;ARAUCA;2016;87;244206;35.62566030318665;1914;4.545454545454546
81;ARAUCA;2015;82;239772;34.199155864738174;1914;4.284221525600835
81;ARAUCA;2014;143;236931;60.355124487720055;1914;7.471264367816093
81;ARAUCA;2013;121;234529;51.592766779374834;1914;6.321839080459771
81;ARAUCA;2012;155;232316;66.71946831040479;1914;8.098223615464995
81;ARAUCA;2011;125;230349;54.265484113236866;1914;6.530825496342738
